summary,vocab,relation,category
a journey is great street food,street food,Locationreviews,0
a journey is great street food in khaolak,street food,Locationreviews,0
a journey is how did this place get a four and half star,place,Locationreviews,0
a journey is local is lekker,local,Locationreviews,0
a la turca pattaya is great street food,street food,Locationreviews,0
a la turca pattaya is great street food in khaolak,street food,Locationreviews,0
a la turca pattaya is how did this place get a four and half star,place,Locationreviews,0
a la turca pattaya is local is lekker,local,Locationreviews,0
a spoonful of sugar is amazing a must for foodies,foodies,foodreview,1
a spoonful of sugar is great place,great place,Locationreviews,0
a tale of tin is amazing a must for foodies,foodies,foodreview,1
a tale of tin is great place,great place,Locationreviews,0
a touch of tamarind is affordable indian restaurant at the heart of the city of bangkok,city,Locationreviews,0
a1 island guesthouse is good food good service cold beer,good food,foodreview,1
a1 island guesthouse is great food,great food,foodreview,1
aaida cuisine is good food good service cold beer,cuisine,foodreview,1
aaida cuisine is great food,cuisine,foodreview,1
aaida cuisine is poor service,cuisine,foodreview,1
ab zab is new restaurant and great food,great food,foodreview,1
abar is a bit pricey but good vibe,good vibe,Locationreviews,0
abar is nice cafe,nice cafe,foodreview,1
abar rooftop is our go to dinner spot every time,dinner,foodreview,1
about eatery is a nice relaxed coffee shop cafe with fantastic smoothies,relaxed,Locationreviews,0
about eatery is elegant great food it feels like being in a london or nyc book caf,great food,foodreview,1
above eleven is best turkish food in thailand,turkish food,foodreview,1
above eleven is terrible meat,meat,foodreview,1
above riva is breakfast omelette,breakfast,foodreview,1
above riva is breakfast pick,breakfast,foodreview,1
above riva is frequently have my breakfast there,breakfast,foodreview,1
above riva is lovely little coffee shop,coffee,foodreview,1
accha fushion india chiangrai is amazing gem,gem,Locationreviews,0
accha fushion india chiangrai is dinner at tin hideous,dinner,foodreview,1
acqua restaurant is breakfast,breakfast,foodreview,1
acqua restaurant is excellent breakfast,breakfast,foodreview,1
acqua restaurant is excellent food,excellent food,foodreview,1
acqua restaurant is yummy food,yummy,foodreview,1
acquapazza pattaya is fantastic place,place,Locationreviews,0
acquapazza pattaya is good place,place,Locationreviews,0
acquapazza pattaya is really good and cheap breakfast,breakfast,foodreview,1
ad lib restaurant is the worst couscous i have ever eaten,couscous,foodreview,1
adhere 13th blues bar is delicious food impeccable service and a glorious view,view,Locationreviews,0
adhere 13th blues bar is great food and view,great food,foodreview,1
aesop s bangkok is best place for drink,place,Locationreviews,0
aesop s bangkok is good place for chilled out,place,Locationreviews,0
after you dessert cafe int intersect rama 3 is a taste of italy in bangkok,taste,foodreview,1
after you dessert cafe int intersect rama 3 is about good food,good food,foodreview,1
after you dessert cafe int intersect rama 3 is fantastic dinner experience,dinner,foodreview,1
after you dessert cafe int intersect rama 3 is good quality food,quality food,foodreview,1
after you dessert cafe is so good cheap friendly and tasty,tasty,foodreview,1
after you dessert cafe is the best beef massaman,best beef,foodreview,1
after you dessert cafe terminal 21 is nice view,nice view,Locationreviews,0
agehan japanese restaurant is nice view,nice view,Locationreviews,0
aglio olio is great view and food,view,Locationreviews,0
aglio olio is lovely lunch with a great view,view,Locationreviews,0
ah yat abalone seafood restaurant is becoming expensive,seafood,foodreview,1
ah yat abalone seafood restaurant is disappointed,seafood,foodreview,1
ah yat abalone seafood restaurant is excellent,seafood,foodreview,1
ah yat abalone seafood restaurant is terrific indian food in the heart of chiang rai,seafood,foodreview,1
aheesah roddee is brilliant food 5,brilliant food,foodreview,1
aheesah roddee is great food and service,great food,foodreview,1
ai jook is good food and best service,good food,foodreview,1
aieaieaie restaurant is foodies were pleasantly surprised,foodies,foodreview,1
aieaieaie restaurant is good pizza not so good salad,pizza,foodreview,1
aim aun restaurant is foodies were pleasantly surprised,foodies,foodreview,1
aim aun restaurant is good pizza not so good salad,pizza,foodreview,1
air space hua hin is love this greek place,place,Locationreviews,0
ajisen ramen mbk is amazing greek restaurant,ramen,foodreview,1
ajisen ramen mbk is delightful,ramen,foodreview,1
ajisen ramen mbk is great night of food and fun,ramen,foodreview,1
ajisen ramen mbk is love this greek place,place,Locationreviews,0
aka is awesome view,view,Locationreviews,0
aka is great place to watch the sunset,great place,Locationreviews,0
aka is sunset dinner,dinner,foodreview,1
aka is view is good,view,Locationreviews,0
aka japanese restaurant is dinner,dinner,foodreview,1
aka japanese restaurant is pad thai seafood,pad thai,foodreview,1
aka japanese restaurant is very nice food and environment,nice food,foodreview,1
akart bistro bar is a definite must go place in bkk,place,Locationreviews,0
akbar restaurant is yummy evening dessert cafe,yummy,foodreview,1
akbar restaurant is yummy sweet,yummy,foodreview,1
akira back is if you enjoy desserts then definitely worth a visit,desserts,foodreview,1
akira back is must visit for desserts,desserts,foodreview,1
akira back is yummy toast,yummy,foodreview,1
akvavit grill bar is delicious and creative sushi at agehan s,delicious,foodreview,1
akvavit grill bar is just what i was looking for,grill,foodreview,1
akvavit grill bar is love it,grill,foodreview,1
akvavit grill bar is sunday dinner a la carte,dinner,foodreview,1
al hilal restaurant is nice location good food friendly service,location,Locationreviews,0
al hussain is good italian food in hua hin,italian food,foodreview,1
al hussain is good pizza,pizza,foodreview,1
al hussain is new location coming up,location,Locationreviews,0
al hussain is pizza with family,pizza,foodreview,1
al piccolo covo by capannina is good n delicious dim sum,delicious,foodreview,1
al piccolo covo by capannina is great cantonese food,cantonese food,foodreview,1
al saray silom is 1 hour wait for pad thai,pad thai,foodreview,1
al saray silom is good food good prices good atmosphere,good food,foodreview,1
al saray soonvijai is best halal resto in town,town,Locationreviews,0
al saray soonvijai is tasty,tasty,foodreview,1
al saray soonvijai is tasty food reasonable prices,tasty,foodreview,1
al tara restaurant is nice location good food friendly service,location,Locationreviews,0
albatross cafe is delicious food and the best people,delicious,foodreview,1
albatross cafe is thai european food and more,european food,foodreview,1
albricias restaurant is excellent food and friendly service,excellent food,foodreview,1
albricias restaurant is great thai food,thai food,foodreview,1
albricias restaurant is great thaifood and cheap prices,thaifood,foodreview,1
albricias restaurant is thai restaurant thai food but there is a surprise in store,thai food,foodreview,1
alby micky restaurant is great sushi,great sushi,foodreview,1
alby micky restaurant is very local,local,Locationreviews,0
aldo s mediterranean bistro and wine bar is delicious sea bass,delicious,foodreview,1
aldo s mediterranean bistro and wine bar is great atmosphere great food,great atmosphere,Locationreviews,0
aldo s mediterranean bistro and wine bar is great coffee shop,coffee,foodreview,1
aldo s mediterranean bistro and wine bar is unimpressed,wine bar,foodreview,1
alexander s german eatery is good ramen,ramen,foodreview,1
alexander s german eatery is japanese food,japanese food,foodreview,1
alexander s german eatery is noodles worth the trip,noodles,foodreview,1
alexander s german eatery is serene relaxed,serene relaxed,Locationreviews,0
ali s barbq house is aka bbq,bbq,foodreview,1
ali s barbq house is food excellent,food excellent,foodreview,1
alice s restaurant is business bbq,bbq,foodreview,1
alice s restaurant is great bbq buffet,bbq buffet,foodreview,1
alice s restaurant is great place for bbq buffet,great place,Locationreviews,0
alice s restaurant is japanese buffet,buffet,foodreview,1
all in hua hin is good food and great experience,good food,foodreview,1
all meals sawasdee is avoid this place,place,Locationreviews,0
all meals sawasdee is great standard,meals,foodreview,1
all meals sawasdee is very good indian food,indian food,foodreview,1
all meals sawasdee is very good indian food,indian food,foodreview,1
all six to twelve x enroute is an exquisite modern japanese food,japanese food,foodreview,1
all six to twelve x enroute is fantastic view,view,Locationreviews,0
all six to twelve x enroute is good food good service,good food,foodreview,1
alley cat is an exquisite modern japanese food,japanese food,foodreview,1
alley cat is fantastic view,view,Locationreviews,0
alley cat is good food good service,good food,foodreview,1
allstar aussie sports bar restaurant is nice and clean restaurant on jomtien beach,jomtien beach,Locationreviews,0
allstar aussie sports bar restaurant is set menu lunch,lunch,foodreview,1
aloha hot juicy is best place of bangladeshi pakistani food,place,Locationreviews,0
aloma seafood is acceptable,seafood,foodreview,1
aloma seafood is best place of bangladeshi,place,Locationreviews,0
aloma seafood is fabulous,seafood,foodreview,1
aloma seafood is not same anymore,seafood,foodreview,1
ama is good italian food,italian food,foodreview,1
ama is perfect italian restaurant and pizzeria on the sea side,pizzeria,foodreview,1
amalfi bistro is best labanese indian food in bangkok,indian food,foodreview,1
amalfi bistro is great food with good experiences,great food,foodreview,1
amalfi is best labanese indian food in bangkok,indian food,foodreview,1
amalfi is great food with good experiences,great food,foodreview,1
amaya food gallery at amari watergate bangkok is excellent lebanese cuisine,cuisine,foodreview,1
amaya food gallery at amari watergate bangkok is great food,great food,foodreview,1
amaya food gallery at amari watergate bangkok is yummy food solid restaurant,yummy,foodreview,1
ambar is excellent lebanese cuisine,cuisine,foodreview,1
ambar is great food,great food,foodreview,1
ambar is yummy food solid restaurant,yummy,foodreview,1
amber kitchen is a bit out of the way but nice halal thai dishes,dishes,foodreview,1
amber kitchen is excellent food service,excellent food,foodreview,1
amber kitchen is halal food but traditional thai taste,taste,foodreview,1
amici bistro bar is good place for lunch,place,Locationreviews,0
amici bistro bar is nice dinner good service great location by the lake,dinner,foodreview,1
amici is best coffee,coffee,foodreview,1
amici is delicious halal food with superb ambience,delicious,foodreview,1
amici is yummy halal food,yummy,foodreview,1
amici italian bistro is dinner buffet,dinner,foodreview,1
amici italian bistro is fabulous seafood dinner,dinner,foodreview,1
amici italian bistro is good place for dinner,place,Locationreviews,0
amici italian bistro is the best service and dinner buffet,dinner,foodreview,1
amonte restaurant is dinner buffet,dinner,foodreview,1
amonte restaurant is fabulous seafood dinner,dinner,foodreview,1
amonte restaurant is good place for dinner,place,Locationreviews,0
amonte restaurant is the best service and dinner buffet,dinner,foodreview,1
amontre is good italian food,italian food,foodreview,1
amontre is great food,great food,foodreview,1
amontre is very nice food and atmosphere,nice food,foodreview,1
amore cafe bar is good ambience perfect for a lunch discussion,lunch,foodreview,1
amore cafe bar is outstanding,outstanding,Locationreviews,0
amore cafe bar is pricey gem in romantic landscape,gem,Locationreviews,0
amore cafe bar is tasty food and very good service,tasty,foodreview,1
amorosa bar is good ambience perfect for a lunch discussion,lunch,foodreview,1
amorosa bar is outstanding,outstanding,Locationreviews,0
amorosa bar is pricey gem in romantic landscape,gem,Locationreviews,0
amorosa bar is tasty food and very good service,tasty,foodreview,1
amritsr is a place for nice beer and excellent food,place,Locationreviews,0
amritsr is genuine and yummy,yummy,foodreview,1
anantara dining by design is clean place food is good and close to le meridien chiang mai,place,Locationreviews,0
anantara dining by design is seafood,seafood,foodreview,1
anchan is nice german place close to the train station fast service free wifi,place,Locationreviews,0
anchan vegetarian restaurant is nothing special just ok,vegetarian,foodreview,1
anchan vegetarian restaurant is restaurant has gone from excellent to terrible,vegetarian,foodreview,1
anchan vegetarian restaurant is very tasty,vegetarian,foodreview,1
anchor inn is a small family resturant with great food and lovely staff,great food,foodreview,1
anchor inn is good place where eat and recharge energy,place,Locationreviews,0
anchor inn is good time and nice place to go with a family and friends aircondicion,nice place,Locationreviews,0
ancora blu bistro and bar is excellent food and atmosphere,excellent food,foodreview,1
ancora blu bistro and bar is fantastic pizza,pizza,foodreview,1
andalay bar is great food lovely chilled atmosphere,great food,foodreview,1
andaman grill is great food lovely chilled atmosphere,great food,foodreview,1
andaman grill is highly recommend,grill,foodreview,1
andaman grill is just came for a drink,grill,foodreview,1
andaman grill is recommended,grill,foodreview,1
andaman kitchen is incredible food,incredible food,foodreview,1
andaman restaurant is great food nice atmosphere and friendly service staff,great food,foodreview,1
andaman restaurant is yummy and special dining experience in bangkok,yummy,foodreview,1
andaman seafood restaurant is cheap and tasty,tasty,foodreview,1
andaman seafood restaurant is good restaurant by the beach,the beach,foodreview,1
andaman seafood restaurant is just the best seafood,seafood,foodreview,1
andaman seafood restaurant is very good,seafood,foodreview,1
andaman seaview beachbar restaurant is satisfying lunch near wat pho,near,Locationreviews,0
andaman seaview beachbar restaurant is very good food,good food,foodreview,1
andaman seaview beachbar restaurant is yummy,yummy,foodreview,1
andaman thai seafood restaurant is ama zing,seafood,foodreview,1
andaman thai seafood restaurant is satisfying lunch near wat pho,near,Locationreviews,0
andaman thai seafood restaurant is very good food,good food,foodreview,1
andaman thai seafood restaurant is yummy,yummy,foodreview,1
andreannas little bakery is best pizza in nai harn,pizza,foodreview,1
andreannas little bakery is delicious food,delicious,foodreview,1
andreannas little bakery is excellent place,place,Locationreviews,0
andreas italian restaurant grill is beautiful sanctuary great food,great food,foodreview,1
andreas italian restaurant grill is excellent needs to be discovered,grill,foodreview,1
andreas italian restaurant grill is fresh fresh fresh,grill,foodreview,1
andreas italian restaurant grill is my first stop in bangkok every trip,grill,foodreview,1
anfield cafe is good breakfast,breakfast,foodreview,1
anfield cafe is great food and service,great food,foodreview,1
angie s bistro is good breakfast,breakfast,foodreview,1
angie s bistro is great food and service,great food,foodreview,1
angus o tool s irish pub is chill at the rooftop,chill,Locationreviews,0
anis bistro sathorn 15 is chill at the rooftop,chill,Locationreviews,0
anita s kitchen is good food,good food,foodreview,1
anita s kitchen is just amazing food,amazing food,foodreview,1
anita s kitchen is the best burger in hua hin,burger,foodreview,1
ann s kitchen bar grill is best pizza in hua hin,pizza,foodreview,1
ann s kitchen bar grill is good food and attentive staff,good food,foodreview,1
ann s kitchen bar grill is great dinner at amici,dinner,foodreview,1
ann s kitchen bar grill is not a place to go,place to,foodreview,1
anna charlie s cafe is great meal,great meal,foodreview,1
anna charlie s cafe is great place to eat,great place,Locationreviews,0
anoma s restaurant is great meal,great meal,foodreview,1
anoma s restaurant is great place to eat,great place,Locationreviews,0
anotai is good food but a little too pricy,good food,foodreview,1
anotai is good food great service,good food,foodreview,1
anotai is the best birthday dinner,dinner,foodreview,1
anotai is very disappointed good service but poor quality food,poor quality food,foodreview,1
another hound cafe central embassy is excellent food,excellent food,foodreview,1
another hound cafe siam paragon is good mexican,good mexican,foodreview,1
anton restaurant is amorosa bar is a great little bar on top of the arun residence hotel worth the time and money for the view at sunset,view,Locationreviews,0
anton restaurant is beautiful place,beautiful place,Locationreviews,0
anton restaurant is great views service and atmosphere with tasty drinks,tasty,foodreview,1
antonio s italiano ristorante is amorosa bar is a great little bar on top of the arun residence hotel worth the time and money for the view at sunset,view,Locationreviews,0
antonio s italiano ristorante is beautiful place,beautiful place,Locationreviews,0
antonio s italiano ristorante is great views service and atmosphere with tasty drinks,tasty,foodreview,1
antonio s the italian experience is best northern indian cuisine,cuisine,foodreview,1
ao chalong yacht club restaurant is best northern indian cuisine,cuisine,foodreview,1
ao thong beach restaurant is cheapest peking duck in town,peking duck,foodreview,1
ao thong beach restaurant is good food,good food,foodreview,1
ao thong beach restaurant is good food horrible service,good food,foodreview,1
ao yon seasau yon seaside restaurantide restaurant is amazing experience,seaside,Locationreviews,0
ao yon seasau yon seaside restaurantide restaurant is amazing experience,seaside,Locationreviews,0
ao yon seasau yon seaside restaurantide restaurant is honeymoon dinner,seaside,Locationreviews,0
ao yon seasau yon seaside restaurantide restaurant is perfect honeymoon during new year and private dinner,seaside,Locationreviews,0
aoi is best vegan vegetarian in town,vegetarian,foodreview,1
aoi japanese restaurant 4th fl emporium bangkok is decent place,place,Locationreviews,0
aoi japanese restaurant 4th fl emporium bangkok is decent place good food,place,Locationreviews,0
aoi japanese restaurant 4th fl emporium bangkok is dinner,dinner,foodreview,1
aoi japanese restaurant is fresh food,fresh food,foodreview,1
aoi japanese restaurant is nice restaurant with good food thai and international and fair prices,good food,foodreview,1
aoi japanese restaurant is not bad for the fast dinner,dinner,foodreview,1
aoi the japanese restaurant is beach bar restaurant,is beach,Locationreviews,0
aoi the japanese restaurant is little gem,gem,Locationreviews,0
aow restaurant is great food combined with excellent service,great food,foodreview,1
aow restaurant is great resort dinner and wonderful staff,dinner,foodreview,1
aow takiab seafood is expensive but passable breakfast buffet,seafood,foodreview,1
aow takiab seafood is great dinner,seafood,foodreview,1
aow takiab seafood is nice thai restaurant,seafood,foodreview,1
aow takiab seafood is thai night buffett a bit dissapointing,seafood,foodreview,1
apinara thai cuisine and bar is andaman restaurant khao lak,thai cuisine,foodreview,1
apinara thai cuisine and bar is andaman sea,thai cuisine,foodreview,1
apinara thai cuisine and bar is great food and the best staff,thai cuisine,foodreview,1
apinara thai cuisine and bar is great place to eat,thai cuisine,foodreview,1
appia is friendly staff good food,good food,foodreview,1
appia is great food and friendly service,great food,foodreview,1
appia is really pleasantly surprised by this place,place,Locationreviews,0
appia is the best green curry delicious cocktails,green curry,foodreview,1
apsara is lunch by the ocean,lunch,foodreview,1
aqua bar is delicious fusion thai seafood,delicious,foodreview,1
aqua bar is far to expensive for average food and view,view,Locationreviews,0
aqua bar is lovely setting for a sundowner on the beach,the beach,Locationreviews,0
aqua bar is seafood spot,seafood,foodreview,1
aqua pool bar is delicious treats,delicious,foodreview,1
aqua pool bar is good food but,good food,foodreview,1
arawy is late visit great food,great food,foodreview,1
arawy vegetarian foods is 3 day side trip to hau hin,vegetarian,foodreview,1
arawy vegetarian foods is best hidden gem in hua hin,hidden gem,Locationreviews,0
arawy vegetarian foods is highly recommended bistro in soi 80,vegetarian,foodreview,1
arawy vegetarian foods is resturant,vegetarian,foodreview,1
archee restaurant is english food,english food,foodreview,1
archee restaurant is great food great spot,great food,foodreview,1
archees restaurant is best thai food ever and halal too,best thai food,foodreview,1
archer s is a hidden gem when you need authentic chinese food in phuket,hidden gem,Locationreviews,0
archer s is best chinese food in phuket,chinese food,foodreview,1
archer s is incredible chinese kitchen,chinese kitchen,foodreview,1
archer s is small little chinese restaurant with extremely tasty cantonese food,tasty,foodreview,1
arcobaleno italian restaurant is good food,good food,foodreview,1
arcobaleno italian restaurant is tasty food,tasty,foodreview,1
aree s house restaurant is dinner at ann s,dinner,foodreview,1
argo georgian greek bar grill is an amazing restaurant,grill,foodreview,1
argo georgian greek bar grill is delicious food with live band entertainment,grill,foodreview,1
argo georgian greek bar grill is good food good service,grill,foodreview,1
argo georgian greek bar grill is very nice for dinner,grill,foodreview,1
ariake restaurant is great food,great food,foodreview,1
arirang is only vegetarian,vegetarian,foodreview,1
arirang is presentation of food excellent service very good food was ok,food excellent,foodreview,1
arirang is vegetarian food baybee,vegetarian,foodreview,1
arisa kitchen is excellent food,excellent food,foodreview,1
arlecchino restaurant is diarrhea after pad thai,pad thai,foodreview,1
arlecchino restaurant is great food,great food,foodreview,1
armenia restaurant is brilliant value german style buffet,buffet,foodreview,1
armenia restaurant is dinner buffet,dinner,foodreview,1
arno s narathiwat 15 is great italian food in a lovely setting,italian food,foodreview,1
arno s thonglor is great italian food in a lovely setting,italian food,foodreview,1
aroi dee restaurant is nice food,nice food,foodreview,1
aroi dee restaurant is tasty meal in lovely setting,tasty,foodreview,1
aroi dee restaurant is very good food,good food,foodreview,1
aroi pub resto is the combination of a fantastic location very good food affordable price,location,Locationreviews,0
aroi sushi bar market village is over price but excellent japanese food,japanese food,foodreview,1
aroi sushi is atmosphere,atmosphere,Locationreviews,0
aroi sushi is good food,good food,foodreview,1
aroi sushi is good option around the area,area,Locationreviews,0
aroi sushi is thai food next to hotel bandara,thai food,foodreview,1
arom d cafe  bistro bangkok is hi quality japanese food,japanese food,foodreview,1
arom d cafe  bistro bangkok is japanese cuisine in downtown bangkok,cuisine,foodreview,1
arom d cafe  bistro is authentic japanese food in siam paragon,japanese food,foodreview,1
aroon restaurant is delicious,delicious,foodreview,1
aroon restaurant is good taste cozy ambiance,taste,foodreview,1
aroon restaurant is hiden place wonderful atmosphere high prices,place,Locationreviews,0
aroy corner is delicious and attentive,delicious,foodreview,1
aroy corner is excellent thai food,thai food,foodreview,1
aroy corner is place to take foreign friends,place to,Locationreviews,0
aroy hua hin is great view,view,Locationreviews,0
aroy hua hin is wonderful service and food,wonderful,Locationreviews,0
aroy is good food reasonable prices,good food,foodreview,1
aroy is good food reasonable prices,good food,foodreview,1
aroy kaffeine is a unique italian restaurant in a good location,location,Locationreviews,0
arroz spanish rice house is great food for a good price,great food,foodreview,1
arroz spanish rice house is great old town eatery,town,Locationreviews,0
artisan craft burgers is cozy place to dine unwind,place to,Locationreviews,0
artisan craft burgers is cozy place with good food,place,Locationreviews,0
artisan craft burgers is dinner,dinner,foodreview,1
arun wan ran ahan is great service and great food with a deck view of the river,great food,foodreview,1
aryaa s indian restaurant is a great place for vegetarian,great place,Locationreviews,0
aryaa s indian restaurant is safe place to eat,place to,Locationreviews,0
asado gaucho grill is authentic cuisine for affordable prices best of all vegetarian,cuisine,foodreview,1
asado gaucho grill is favorite place,favorite place,Locationreviews,0
asado gaucho grill is tasty vegan,grill,foodreview,1
asado gaucho grill is vegan comfort,grill,foodreview,1
ash kickers briskets bourbon is delicious food,delicious,foodreview,1
ash kickers briskets bourbon is hidden gem in rawai,hidden gem,Locationreviews,0
ash kickers briskets bourbon is very nice place,nice place,Locationreviews,0
ashibi japanese restaurant is excellent thai food,thai food,foodreview,1
asia today is best english foods,english foods,foodreview,1
asia today is british sunday roast was truly wonderful,wonderful,Locationreviews,0
asian delight indian restaurant bar is great place in chiangmai,great place,Locationreviews,0
asian delight indian restaurant bar is simply good italian dishes,dishes,foodreview,1
aston dining room and bar is good food but not much else,good food,foodreview,1
aston dining room and bar is great thai food,thai food,foodreview,1
at kata bar restaurant is authentic georgian cuisine,cuisine,foodreview,1
at kata bar restaurant is new place with interesting menu plus expected greek favorites,place,Locationreviews,0
at kata bar restaurant is very unique dishes but slightly expensive,dishes,foodreview,1
at ta rote is delicious food and wonderful staff,delicious,foodreview,1
at ta rote is the best food we had in phuket,best food,foodreview,1
at ta rote is very affordable thai food and cocktails,thai food,foodreview,1
at the beach is amazing japanese food,the beach,Locationreviews,0
at the beach is best food i have ever eaten,the beach,Locationreviews,0
at the beach is excellent,the beach,Locationreviews,0
at the beach is great japanese food,the beach,Locationreviews,0
at twentytwo house cafe is for meat eaters,meat,foodreview,1
at twentytwo house cafe is good food,good food,foodreview,1
at twentytwo house cafe is korean food,korean food,foodreview,1
atelier restaurant is great food,great food,foodreview,1
atelier restaurant is the restaurant has moved to a nice quiet place,place,Locationreviews,0
atrium restaurant landmark bangkok hotel is enjoyed,landmark,Locationreviews,0
atrium restaurant landmark bangkok hotel is if i could give this place 0 stars i would,landmark,Locationreviews,0
